PC,2,3,4,5,6,7,8,9,10,1
:8,S,S,S,S,S,S,S,S,S,S
9,S,S,S,S,S,S,S,S,S,S
10,S,S,S,S,S,S,S,S,S,S
11,S,S,S,S,S,S,S,S,S,S
12,S,S,S,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
17:,S,S,S,S,S,S,S,S,S,S
A2,S,S,S,S,S,S,S,S,S,S
A3,S,S,S,S,S,S,S,S,S,S
A4,S,S,S,S,S,S,S,S,S,S
A5,S,S,S,S,S,S,S,S,S,S
A6,S,S,S,S,S,S,S,S,S,S
A7,S,S,S,S,S,S,S,S,S,S
A8,S,S,S,S,S,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
A10,S,S,S,S,S,S,S,S,S,S
22,S,S,S,S,S,S,S,S,S,S
33,S,S,S,S,S,S,S,S,S,S
44,S,S,S,S,S,S,S,S,S,S
55,S,S,S,S,S,S,S,S,S,S
66,S,S,S,S,S,S,S,S,S,S
77,S,S,S,S,S,S,S,S,S,S
88,S,S,S,S,S,S,S,S,S,S
99,S,S,S,S,S,S,S,S,S,S
1010,S,S,S,S,S,S,S,S,S,S
AA,S,S,S,S,S,S,S,S,S,S
